fHI	fHeI	fHeII	z	T(K)
0.95323	0.95323	0.04677	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.99961	0.000399941	0.0001	0	0	0	1
10.404	0	0.999421	0.000588153	0.00050001	0	0	0	1
10.6121	0	0.999529	0.000480519	0.00030005	0	0	0	1
10.8243	0	0.998313	0.00169594	0.00120003	0	0	0	1
11.0408	0	0.997885	0.00212455	0.00170012	0	0	0	1.02473
11.2616	0	0.998379	0.00163009	0.00110017	0	0	0	1.01801
11.4869	0	0.997612	0.00239718	0.00170011	0	0	0	1.01138
11.7166	0	0.996701	0.00330766	0.00270017	0	0	0	1.00484
11.9509	0	0.99651	0.00349882	0.00240027	0	0	0	0.99839
12.1899	0	0.996311	0.0036967	0.00290024	0	0	0	0.992031
12.4337	0	0.995503	0.00450521	0.00420029	0	0	0	0.98576
12.6824	0	0.995269	0.00473853	0.00420042	0	0	0	0.979575
12.9361	0	0.994588	0.0054194	0.00410042	0	0	0	0.973475
13.1948	0	0.99481	0.0051972	0.00450041	0	0	0	0.967459
13.4587	0	0.992096	0.00791165	0.00650045	0	0	0	0.961525
13.7279	9.90541e-05	0.991287	0.0086212	0.00740065	0.0001	0	0	0.955674
14.0024	9.71118e-09	0.990369	0.00963841	0.00880074	1e-08	0	0	0.949903
14.2825	0.000190415	0.99031	0.00950629	0.00910088	0.0002	0	0	0.944211
14.5681	1.86682e-08	0.990196	0.00981058	0.00870091	2e-08	0	0	0.938598
14.8595	0.000274532	0.988038	0.0116944	0.0119009	0.0003	0	0	0.933062
15.1567	0.000538325	0.987784	0.0116844	0.0126012	0.00060003	0	0	0.927603
15.4598	0.000527796	0.986191	0.0132877	0.0136013	0.00060006	0	0	0.922218
15.769	0.000776144	0.983889	0.0153417	0.0163014	0.00090006	0	0	0.916908
16.0844	0.00152183	0.984132	0.0143528	0.0155016	0.00180009	0	0	0.91167
16.4061	0.000828989	0.982199	0.0169786	0.0196016	0.00100018	0	0	0.906505
16.7342	0.00170652	0.983154	0.0151453	0.018202	0.0021001	0	0	0.901411
17.0689	0.00119515	0.982893	0.0159183	0.0175018	0.00150021	0	0	0.896387
17.4102	0.00257753	0.980137	0.0172913	0.0201018	0.00330015	0	0	0.891432
17.7584	0.00275685	0.975647	0.0216019	0.025902	0.00360033	0	0	0.886545
18.1136	0.00300309	0.97687	0.0201326	0.0254026	0.00400036	0	0	0.881726
18.4759	0.00323863	0.975174	0.0215931	0.0263025	0.0044004	0	0	0.876973
18.8454	0.00541198	0.971691	0.022903	0.0301026	0.00750044	0	0	0.872285
19.2223	0.0051646	0.970358	0.0244833	0.032603	0.00730075	0	0	0.867662
19.6068	0.00547944	0.969156	0.0253701	0.0361033	0.00790073	0	0	0.863103
19.9989	0.00578001	0.967197	0.0270281	0.0386036	0.00850079	0	0	0.858606
20.3989	0.00626666	0.966717	0.0270217	0.0383039	0.00940085	0	0	0.854172
20.8069	0.00679738	0.96747	0.0257381	0.0371038	0.0104009	0	0	0.849798
21.223	0.00813781	0.962383	0.0294844	0.0431037	0.012701	0	0	0.845484
21.6474	0.00948597	0.957835	0.0326839	0.0512043	0.0151013	0	0	0.84123
22.0804	0.00874586	0.961007	0.0302525	0.0470051	0.0142015	0	0	0.837035
22.522	0.00954035	0.959158	0.0313066	0.0498047	0.0158014	0	0	0.832897
22.9724	0.0108924	0.956222	0.0328907	0.056205	0.0184016	0	0	0.828816
23.4319	0.012536	0.95336	0.0341093	0.0565056	0.0216018	0	0	0.824792
23.9005	0.0125748	0.950348	0.0370821	0.0642057	0.0221022	0	0	0.820822
24.3785	0.0144479	0.949915	0.0356423	0.0644064	0.0259022	0	0	0.816908
24.8661	0.0126883	0.950038	0.0372793	0.0676064	0.0232026	0	0	0.813047
25.3634	0.0170501	0.945108	0.0378469	0.0683068	0.0318023	0	0	0.809239
25.8707	0.0169264	0.944629	0.0384499	0.0728068	0.0322032	0	0	0.805484
26.3881	0.0166976	0.942594	0.0407137	0.0786073	0.0324032	0	0	0.801781
26.9159	0.0188457	0.939518	0.0416419	0.0813079	0.0373032	0	0	0.798128
27.4542	0.0202595	0.936836	0.0429101	0.0821081	0.0409037	0	0	0.794526
28.0033	0.0225817	0.933867	0.0435569	0.0887082	0.0465041	0	0	0.790974
28.5633	0.0243767	0.93009	0.045539	0.0955089	0.0512047	0	0	0.78747
29.1346	0.0240121	0.929298	0.0466955	0.0997096	0.0509051	0.0003	0	0.784014
29.7173	0.0245198	0.926239	0.0492474	0.10501	0.0534051	0.00010003	0	0.780607
30.3117	0.0262907	0.926322	0.0473929	0.106011	0.0586053	1.0003e-08	0	0.777246
30.9179	0.0246675	0.923683	0.0516552	0.115411	0.0559059	0.0001	0	0.773931
31.5362	0.0282369	0.919228	0.0525408	0.118912	0.0653056	0.00010001	0	0.770662
