fHI	fHeI	fHeII	z	T(K)
0.999786	0.999786	0.0002138	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.877828	0.122182	0.0772	0	0	0	1
10.404	0	0.866205	0.133805	0.0890077	0	0	0	1
10.6121	0	0.858064	0.141945	0.0960089	0	0	0	1
10.8243	0	0.756548	0.243462	0.17331	0	0	0	1
11.0408	0	0.739151	0.260858	0.190817	0	0	0	0.25664
11.2616	0	0.726244	0.273764	0.206019	0	0	0	0.254984
11.4869	0	0.626225	0.373783	0.283221	0	0	0	0.25335
11.7166	0	0.61745	0.382558	0.305028	0	0	0	0.251739
11.9509	0	0.537567	0.462442	0.376431	0	0	0	0.25015
12.1899	0	0.511433	0.488575	0.402738	0	0	0	0.248583
12.4337	0	0.494191	0.505817	0.42204	0	0	0	0.247038
12.6824	0	0.447413	0.552594	0.471142	0	0	0	0.245514
12.9361	0	0.400207	0.599801	0.517247	0	0	0	0.24401
13.1948	0	0.374012	0.625995	0.551152	0	0	0	0.242528
13.4587	0	0.344631	0.655376	0.596555	0	0	0	0.241066
13.7279	0.00871676	0.341836	0.649454	0.59626	0.0088	0	0	0.239624
14.0024	0.0094207	0.325888	0.664699	0.62006	0.00970088	0	0	0.238202
14.2825	0.0114258	0.313054	0.675528	0.638862	0.012001	0	0	0.236799
14.5681	0.0220296	0.31712	0.660858	0.633364	0.0236012	0	0	0.235416
14.8595	0.0282789	0.311102	0.660627	0.661563	0.0309024	0	0	0.234052
15.1567	0.0439638	0.312816	0.64323	0.659366	0.0490031	0	0	0.232706
15.4598	0.0573524	0.313036	0.629622	0.661066	0.0652049	0	0	0.231379
15.769	0.0633003	0.320172	0.616539	0.665966	0.0734065	0	0	0.230071
16.0844	0.0789681	0.324684	0.59636	0.655067	0.0934073	0	0	0.22878
16.4061	0.0938324	0.331557	0.574624	0.646366	0.113209	0	0	0.227507
16.7342	0.103289	0.338568	0.558158	0.649465	0.127111	0	0	0.226252
17.0689	0.117039	0.346352	0.536624	0.638365	0.146913	0	0	0.225014
17.4102	0.12404	0.355182	0.520795	0.639064	0.158815	0	0	0.223793
17.7584	0.133554	0.366715	0.499749	0.627164	0.174416	0	0	0.222589
