fHI	fHeI	fHeII	z	T(K)
0.99	0.99	0.01	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.99611	0.00389943	0.0022	0	0	0	1
10.404	0	0.996873	0.00313683	0.00220022	0	0	0	1
10.6121	0	0.996165	0.00384414	0.00230022	0	0	0	1
10.8243	0	0.993131	0.00687798	0.00480023	0	0	0	1
11.0408	0	0.993081	0.00692788	0.00450048	0	0	0	0.760688
11.2616	0	0.989776	0.0102333	0.00690045	0	0	0	0.755267
11.4869	0	0.987224	0.012785	0.00960069	0	0	0	0.74992
11.7166	0	0.987561	0.0124473	0.010201	0	0	0	0.744647
11.9509	0	0.98405	0.015958	0.011601	0	0	0	0.739446
12.1899	0	0.982268	0.0177398	0.0152012	0	0	0	0.734317
12.4337	0	0.980371	0.019637	0.0165015	0	0	0	0.729258
12.6824	0	0.975791	0.0242168	0.0212017	0	0	0	0.72427
12.9361	0	0.971021	0.0289869	0.0245021	0	0	0	0.719349
13.1948	0	0.970612	0.0293955	0.0275025	0	0	0	0.714497
13.4587	0	0.962844	0.0371636	0.0337028	0	0	0	0.709711
13.7279	0.000396216	0.960357	0.0392539	0.0343034	0.0004	0	0	0.704992
14.0024	0.000485598	0.95639	0.0431314	0.0405034	0.00050004	0	0	0.700337
14.2825	0.000380878	0.955105	0.0445211	0.0433041	0.00040005	0	0	0.695746
14.5681	0.00121347	0.95146	0.0473338	0.0461043	0.00130004	0	0	0.691218
14.8595	0.00128127	0.945307	0.0534184	0.0502046	0.00140013	0	0	0.686753
15.1567	0.00179445	0.945166	0.0530464	0.052005	0.00200014	0	0	0.68235
15.4598	0.00334255	0.936727	0.059937	0.0640052	0.0038002	0	0	0.678006
15.769	0.00344963	0.932087	0.06447	0.0697064	0.00400038	0	0	0.673723
16.0844	0.00448105	0.931889	0.0636362	0.070307	0.0053004	0	0	0.669499
16.4061	0.00596809	0.92484	0.0691982	0.076107	0.00720053	0	0	0.665333
16.7342	0.00715136	0.917933	0.0749222	0.0848076	0.00880072	0	0	0.661224
17.0689	0.0069316	0.91586	0.0772151	0.0934085	0.00870088	0	0	0.657171
17.4102	0.0106227	0.904631	0.0847525	0.103109	0.0136009	0	0	0.653175
17.7584	0.0134777	0.902804	0.0837245	0.10141	0.0176014	0	0	0.649234
18.1136	0.0144149	0.895109	0.0904824	0.11141	0.0192018	0	0	0.645346
18.4759	0.0156043	0.894166	0.0902365	0.115911	0.0212019	0	0	0.641513
18.8454	0.0200608	0.882909	0.0970366	0.128812	0.0278021	0	0	0.637732
19.2223	0.0213657	0.87835	0.100292	0.132013	0.0302028	0	0	0.634003
19.6068	0.0239985	0.873079	0.10293	0.140713	0.034603	0	0	0.630325
19.9989	0.02584	0.868575	0.105592	0.145614	0.0380035	0	0	0.626698
20.3989	0.0272	0.858542	0.114265	0.162115	0.0408038	0	0	0.623121
20.8069	0.0307842	0.859127	0.110096	0.162916	0.0471041	0	0	0.619594
21.223	0.031975	0.851261	0.116772	0.175316	0.0499047	0	0	0.616114
21.6474	0.0382579	0.847656	0.114094	0.173318	0.060905	0	0	0.612683
22.0804	0.0415114	0.837228	0.121268	0.191117	0.0674061	0	0	0.609299
22.522	0.0435355	0.835438	0.121034	0.191519	0.0721067	0	0	0.605962
22.9724	0.0468257	0.82516	0.128023	0.215119	0.0791072	0	0	0.60267
23.4319	0.0506085	0.819569	0.129831	0.218622	0.0872079	0	0	0.599424
23.9005	0.0529165	0.815056	0.132037	0.228922	0.0930087	0	0	0.596222
24.3785	0.0541104	0.807689	0.138209	0.238623	0.0970093	0	0	0.593065
24.8661	0.0558386	0.802924	0.141246	0.248324	0.10211	0	0	0.589951
25.3634	0.0630003	0.793301	0.143708	0.264125	0.11751	0	0	0.58688
25.8707	0.0637631	0.788998	0.147248	0.277826	0.121312	0	0	0.583851
26.3881	0.0696759	0.783282	0.147052	0.283128	0.135212	0	0	0.580864
26.9159	0.0704225	0.780944	0.148644	0.292228	0.139214	0.0001	0	0.577918
27.4542	0.0764428	0.769795	0.153772	0.306329	0.153614	0.00040001	0	0.575012
28.0033	0.07947	0.763765	0.156775	0.323031	0.163115	0.00030004	0	0.572147
