fHI	fHeI	fHeII	z	T(K)
0.001	0.001	0.999	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	1.00001	0	0	0	0	0	1
10.404	0	1.00001	0	0	0	0	0	1
10.6121	0	1.00001	0	0	0	0	0	1
10.8243	0	1.00001	0	0	0	0	0	1
11.0408	0	1.00001	0	0	0	0	0	0.999981
11.2616	0	1.00001	0	0	0	0	0	0.999981
11.4869	0	1.00001	0	0	0	0	0	0.999981
11.7166	0	1.00001	0	0	0	0	0	0.999981
11.9509	0	1.00001	0	0	0	0	0	0.999981
12.1899	0	1.00001	0	0	0	0	0	0.999981
12.4337	0	1.00001	0	0	0	0	0	0.999981
12.6824	0	1.00001	0	0	0	0	0	0.999981
12.9361	0	1.00001	0	0	0	0	0	0.999981
13.1948	0	1.00001	0	0	0	0	0	0.999981
13.4587	0	1.00001	0	0	0	0	0	0.999981
13.7279	0	1.00001	0	0	0	0	0	0.999981
14.0024	0	1.00001	0	0	0	0	0	0.999981
14.2825	0	1.00001	0	0	0	0	0	0.999981
14.5681	0	1.00001	0	0	0	0	0	0.999981
14.8595	0	1.00001	0	0	0	0	0	0.999981
15.1567	0	1.00001	0	0	0	0	0	0.999981
15.4598	0	1.00001	0	0	0	0	0	0.999981
15.769	0	1.00001	0	0	0	0	0	0.999981
16.0844	0	1.00001	0	0	0	0	0	0.999981
16.4061	0	1.00001	0	0	0	0	0	0.999981
16.7342	0	1.00001	0	0	0	0	0	0.999981
17.0689	0	1.00001	0	0	0	0	0	0.999981
17.4102	0	1.00001	0	0	0	0	0	0.999981
17.7584	0	1.00001	0	0	0	0	0	0.999981
18.1136	0	1.00001	0	0	0	0	0	0.999981
18.4759	0	1.00001	0	0	0	0	0	0.999981
18.8454	0	1.00001	0	0	0	0	0	0.999981
19.2223	0	1.00001	0	0	0	0	0	0.999981
19.6068	0	1.00001	0	0	0	0	0	0.999981
19.9989	0	1.00001	0	0	0	0	0	0.999981
20.3989	0	1	0	0	0	0	0	0.999981
20.8069	0	1	0	0	0	0	0	0.999981
21.223	0	1	0	0	0	0	0	0.999981
21.6474	0	1	0	0	0	0	0	0.999981
22.0804	0	1	0	0	0	0	0	0.999981
22.522	0	1	0	0	0	0	0	0.999981
22.9724	0	1	0	0	0	0	0	0.999981
23.4319	0	1	0	0	0	0	0	0.999981
23.9005	0	1	0	0	0	0	0	0.999981
24.3785	0	1	0	0	0	0	0	0.999981
24.8661	0	1	0	0	0	0	0	0.999981
25.3634	0	1	0	0	0	0	0	0.999981
25.8707	0	1	0	0	0	0	0	0.999981
26.3881	0	1	0	0	0	0	0	0.999981
26.9159	0	1	0	0	0	0	0	0.999981
27.4542	0	1	0	0	0	0	0	0.999981
28.0033	0	1	0	0	0	0	0	0.999981
28.5633	0	1	0	0	0	0	0	0.999981
29.1346	0	1	0	0	0	0	0	0.999981
29.7173	0	1	0	0	0	0	0	0.999981
30.3117	0	1	0	0	0	0	0	0.999981
30.9179	0	1	0	0	0	0	0	0.999981
31.5362	0	1	0	0	0	0	0	0.99998
32.167	0	1	0	0	0	0	0	0.99998
32.8103	0	1	0	0	0	0	0	0.99998
33.4665	4.06317e-05	0.999962	0	0	0.0001	0	0	0.99998
34.1358	3.9835e-09	1	0	0	1e-08	0	0	0.99998
34.8186	3.90539e-13	1	0	0	1e-12	0	0	0.99998
35.5149	3.82881e-17	1	0	0	1e-16	0	0	0.99998
36.2252	3.75374e-21	1	0	0	1e-20	0	0	0.99998
36.9497	3.68013e-25	0.999975	2.7601e-05	0.0001	1e-24	0	0	0.99998
37.6887	3.60798e-29	1	7.32341e-11	1e-08	1e-28	0	0	0.99998
38.4425	3.53723e-33	1	1.90503e-16	1e-12	1e-32	0	0	0.99998
39.2114	3.46787e-37	1	4.85836e-22	1e-16	1e-36	0	0	0.99998
39.9956	3.39988e-41	1	1.21472e-27	1e-20	1e-40	0	0	0.99998
40.7955	3.33321e-45	0.999977	2.49991e-05	0.0001	1e-44	0	0	0.99998
41.6114	3.26785e-49	1	6.00775e-11	1e-08	1e-48	0	0	0.99998
42.4436	3.20378e-53	1	1.41547e-16	1e-12	1e-52	0	0	0.99998
43.2925	3.14096e-57	0.999979	2.35572e-05	0.0001	1e-56	0	0	0.99998
44.1584	3.07937e-61	1	5.33471e-11	1e-08	1e-60	0	0	0.99998
45.0415	3.01899e-65	1	1.1844e-16	1e-12	1e-64	0	0	0.99998
45.9424	5.35149e-05	0.999949	2.57801e-22	1e-16	1e-68	0.0001	0	0.99998
46.8612	5.24656e-09	1	5.50137e-28	1e-20	1e-72	1e-08	0	0.99998
47.7984	5.14368e-13	0.999981	2.13365e-05	0.0001	1e-76	1e-12	0	0.99998
48.7544	5.04283e-05	0.999952	4.37632e-11	1e-08	1e-80	0.0001	0	0.99998
49.7295	4.94395e-09	1	8.80025e-17	1e-12	1e-84	1e-08	0	0.99998
50.7241	4.84701e-13	0.999962	4.02117e-05	0.0001	1e-88	1e-12	0	0.99998
51.7386	4.75197e-17	1	7.77209e-11	1e-08	1e-92	1e-16	0	0.99998
52.7733	4.65879e-21	1	1.47273e-16	1e-12	1e-96	1e-20	0	0.99998
53.8288	4.56744e-05	0.999956	2.73595e-22	1e-16	1e-100	0.0001	0	0.99998
54.9054	4.47833e-05	0.999957	4.98304e-28	1e-20	1e-104	0.00010001	0	0.99998
56.0035	8.78061e-05	0.999914	8.89773e-34	1e-24	1e-108	0.00020001	0	0.99998
57.1235	4.76177e-05	0.999954	1.55763e-39	1e-28	0.0002	2.0001e-08	0	0.99998
58.266	4.22008e-05	0.99996	2.67331e-45	1e-32	2e-08	0.0001	0	0.99998
59.4313	8.71333e-05	0.999915	4.49814e-51	1e-36	0.0002	0.00010001	0	0.99998
60.62	0.000152724	0.999849	7.42024e-57	1e-40	0.00010002	0.00010001	0.0001	0.99998
61.8324	0.000123523	0.999878	1.20006e-62	1e-44	0.00020001	0.00020001	1e-08	0.99998
63.069	1.21101e-08	1	1.90277e-68	1e-48	2.0001e-08	2.0001e-08	1e-12	0.99998
64.3304	2.11378e-05	0.999946	3.46424e-05	1e-52	0.0001	2.0001e-12	1e-16	0.99998
65.617	2.07254e-05	0.999981	5.27949e-11	1e-56	0.00010001	2.0001e-16	1e-20	0.99998
66.9293	0.000118004	0.999883	7.88816e-17	1e-60	0.00040001	0.0001	1e-24	0.99998
68.2679	0.000147891	0.999854	1.15547e-22	1e-64	0.00020004	0.00030001	1e-28	0.99998
69.6333	0.000113434	0.999888	1.65937e-28	1e-68	0.00040002	0.00010003	1e-32	0.99998
71.0259	9.2062e-05	0.999909	2.33628e-34	1e-72	0.00030004	0.00010001	1e-36	0.99998
72.4465	0.000192065	0.999809	3.22484e-40	1e-76	0.00030003	0.00040001	1e-40	0.99998
73.8954	1.84205e-05	0.999967	1.63571e-05	1e-80	0.00010003	4.0001e-08	1e-44	0.99998
75.3733	0.000296308	0.999705	2.17014e-11	1e-84	0.00030001	0.0003	0.0002	0.99998
76.8808	5.30904e-05	0.999948	2.82273e-17	1e-88	0.00030003	3e-08	2e-08	0.99998
78.4184	0.000232785	0.999742	2.60105e-05	0.0002	3.0003e-08	0.0003	0.0002	0.99998
79.9867	0.000126236	0.999862	1.27503e-05	0.00010002	0.0002	0.00030003	2e-08	0.99998
81.5865	0.00024042	0.999761	1.56279e-11	1.0002e-08	0.00010002	0.00030003	0.0002	0.99998
83.2182	2.95676e-05	0.999959	1.22551e-05	0.0001	1.0002e-08	0.00010003	2e-08	0.99998
84.8826	0.000147901	0.999853	1.44377e-11	1e-08	0.0002	0.00040001	2e-12	0.99998
86.5802	0.000352201	0.999637	1.17792e-05	0.0001	0.00090002	0.00030004	0.0002	0.99998
88.3118	0.000123216	0.999855	2.30966e-05	0.00020001	0.00040009	3.0004e-08	0.00010002	0.99998
90.0781	7.25936e-05	0.999929	2.56406e-11	2.0001e-08	0.00030004	0.0001	1.0002e-08	0.99998
91.8796	0.000130365	0.999857	1.38748e-05	0.0001	0.00030003	0.00010001	0.0001	0.99998
93.7172	0.000183068	0.999818	1.4805e-11	1e-08	0.00050003	0.00020001	0.00010001	0.99998
95.5916	0.000117122	0.999884	1.54877e-17	1e-12	0.00010005	0.00040002	1.0001e-08	0.99998
97.5034	0.000148066	0.999829	2.35342e-05	0.0002	0.00030001	0.00020004	0.0001	0.99998
99.4535	0.000112572	0.999878	1.02546e-05	0.00010002	0.00010003	0.00040002	1e-08	0.99998
101.443	0.000236689	0.999742	2.19687e-05	0.00020001	0.00050001	0.00070004	1e-12	0.99998
103.471	0.000260866	0.999728	1.16816e-05	2.0001e-08	0.00050005	0.00060007	0.0001	0.99998
105.541	0.000250289	0.999751	1.10683e-11	2.0001e-12	0.00060005	0.00030006	0.00020001	0.99998
107.652	0.000169592	0.999822	9.47361e-06	0.0001	0.00040006	0.00030003	0.00010002	0.99998
109.805	0.00029535	0.999706	8.6277e-12	1e-08	0.00050004	0.00060003	0.00020001	0.99998
112.001	0.000116778	0.999884	7.70325e-18	1e-12	0.00020005	0.00020006	0.00010002	0.99998
114.241	0.000248168	0.999735	1.78544e-05	0.0002	0.00060002	0.00060002	0.00010001	0.99998
116.526	0.000226696	0.999755	1.91251e-05	0.00020002	0.00020006	0.00030006	0.00030001	0.99998
118.856	0.000157996	0.999834	8.58056e-06	0.00010002	0.00040002	0.00010003	0.00020003	0.99998
121.233	0.000267056	0.999725	8.41231e-06	0.00010001	0.00100004	0.00010001	0.00030002	0.99998
123.658	0.000365463	0.999635	6.80289e-12	1.0001e-08	0.0006001	0.00040001	0.00050003	0.99998
126.131	0.000397293	0.999595	8.08564e-06	0.0001	0.00060006	0.00060004	0.00050005	0.99998
128.654	0.000398047	0.999593	9.39508e-06	1e-08	0.00050006	0.00070006	0.00050005	0.99998
131.227	0.000242765	0.999715	4.27442e-05	0.0003	0.00060005	0.00030007	0.00030005	0.99998
133.851	0.000392736	0.999593	1.52386e-05	0.00020003	0.00100006	0.00070003	0.00040003	0.99998
136.528	0.000191589	0.999809	1.11615e-11	2.0003e-08	0.0008001	0.00040007	0.00010004	0.99998
139.259	0.000401152	0.9996	8.01492e-18	2.0003e-12	0.00070008	0.00100004	0.00040001	0.99998
142.044	0.000632635	0.999368	5.64256e-24	2.0003e-16	0.00120007	0.0010001	0.00090004	0.99998
144.885	0.000471511	0.999529	3.89451e-30	2.0003e-20	0.00110012	0.0004001	0.00080009	0.99998
147.783	0.000278224	0.999709	1.3802e-05	0.0002	0.00150011	0.00040004	0.00020008	0.99998
