fHI	fHeI	fHeII	z	T(K)
0.5	0.5	0.5	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	1.00001	0	0	0	0	0	1
10.404	0	1.00001	0	0	0	0	0	1
10.6121	0	1.00001	0	0	0	0	0	1
10.8243	0	0.999915	9.42184e-05	0.0001	0	0	0	1
11.0408	0	0.999917	9.23718e-05	0.00010001	0	0	0	1.03669
11.2616	0	0.999918	9.05606e-05	0.00010001	0	0	0	1.03486
11.4869	0	1.00001	7.88384e-10	1.0001e-08	0	0	0	1.03306
11.7166	0	0.999921	8.70432e-05	1.0001e-12	0	0	0	1.03128
11.9509	0	0.999582	0.000426683	0.0004	0	0	0	1.02953
12.1899	0	0.999841	0.00016733	0.00010004	0	0	0	1.0278
12.4337	0	0.999926	8.20241e-05	1.0004e-08	0	0	0	1.0261
12.6824	0	0.999847	0.00016083	0.0001	0	0	0	1.02442
12.9361	0	0.999752	0.000256224	0.00030001	0	0	0	1.02276
13.1948	0	0.999684	0.000323483	0.00020003	0	0	0	1.02113
13.4587	0	0.999283	0.000724088	0.00050002	0	0	0	1.01951
13.7279	0	0.999139	0.000868104	0.00080005	0	0	0	1.01792
14.0024	0	0.999338	0.000668999	0.00050008	0	0	0	1.01636
14.2825	0	0.999436	0.000571251	0.00060005	0	0	0	1.01481
14.5681	0	0.999346	0.00066052	0.00080006	0	0	0	1.01329
14.8595	0.000274532	0.99917	0.000561778	0.00050008	0.0003	0	0	1.01178
15.1567	8.97432e-05	0.999076	0.000841094	0.00110005	0.00010003	0	0	1.0103
15.4598	8.79836e-09	0.999269	0.000737868	0.00100011	1.0003e-08	0	0	1.00883
15.769	8.62584e-13	0.999364	0.000642557	0.0007001	1.0003e-12	0	0	1.00739
16.0844	8.45417e-05	0.999232	0.000689254	0.00070007	0.0001	0	0	1.00597
16.4061	0.000165776	0.999254	0.000586524	0.00080007	0.00020001	0	0	1.00457
16.7342	1.62526e-08	0.999008	0.000997681	0.00120008	2.0001e-08	0	0	1.00318
17.0689	7.96655e-05	0.998971	0.000955439	0.00130012	0.0001	0	0	1.00182
17.4102	7.81113e-05	0.99906	0.000867279	0.00100013	0.00010001	0	0	1.00047
17.7584	0.000229724	0.999037	0.000739137	0.0009001	0.00030001	0	0	0.999143
18.1136	0.000150164	0.998396	0.00145971	0.00180009	0.00020003	0	0	0.997834
18.4759	7.36133e-05	0.999411	0.00052082	0.00080018	0.00010002	0	0	0.996542
18.8454	0.000216474	0.998686	0.00110238	0.00150008	0.00030001	0	0	0.995269
19.2223	0.000212243	0.998802	0.000991358	0.00120015	0.00030003	0	0	0.994013
19.6068	0.000346789	0.998514	0.00114386	0.00150012	0.00050003	0	0	0.992774
19.9989	0.000272009	0.998038	0.00169513	0.00260015	0.00040005	0	0	0.991552
20.3989	0.00039999	0.998059	0.00154616	0.00240026	0.00060004	0	0	0.990347
20.8069	0.000326807	0.997893	0.00178543	0.00270024	0.00050006	0	0	0.989159
21.223	0.000192248	0.998263	0.00154975	0.00220027	0.00030005	0	0	0.987987
21.6474	0.00056536	0.998336	0.00110364	0.00160022	0.00090003	0	0	0.986831
22.0804	0.000492728	0.997974	0.00153832	0.00230016	0.00080009	0	0	0.985691
22.522	0.00048306	0.997869	0.00165239	0.00240023	0.00080008	0	0	0.984567
22.9724	0.000473589	0.998294	0.0012373	0.00220024	0.00080008	0	0	0.983458
23.4319	0.000406271	0.998257	0.00134079	0.00250022	0.00070008	0	0	0.982365
23.9005	0.000853452	0.997653	0.00149822	0.00230025	0.00150007	0	0	0.981287
24.3785	0.000725205	0.997162	0.00211688	0.00370023	0.00130015	0	0	0.980223
24.8661	0.000492235	0.997318	0.00219348	0.00370037	0.00090013	0	0	0.979174
25.3634	0.0010723	0.996844	0.00208792	0.00380037	0.00200009	0	0	0.97814
25.8707	0.00094621	0.997238	0.00181995	0.00310038	0.0018002	0	0	0.977119
26.3881	0.000669993	0.997233	0.00210132	0.00440031	0.00130018	0	0	0.976113
26.9159	0.000808391	0.997176	0.00201977	0.00410044	0.00160013	0	0	0.975121
27.4542	0.00108973	0.996333	0.00258106	0.00520041	0.00220016	0	0	0.974142
28.0033	0.00135975	0.996762	0.00188199	0.00380052	0.00280022	0	0	0.973177
28.5633	0.00114269	0.996559	0.00230198	0.00430038	0.00240028	0	0	0.972225
29.1346	0.00116694	0.996511	0.00232523	0.00510043	0.00250024	0	0	0.971286
29.7173	0.000915271	0.996367	0.00272101	0.00620051	0.00200025	0	0	0.97036
30.3117	0.00130105	0.995538	0.00316393	0.00750062	0.0029002	0	0	0.969447
30.9179	0.0014515	0.995976	0.00257626	0.00570075	0.00330029	0	0	0.968547
31.5362	0.00172489	0.995413	0.002865	0.00670057	0.00400033	0	0	0.967658
32.167	0.001522	0.995264	0.00321717	0.00740067	0.0036004	0	0	0.966782
32.8103	0.00189863	0.994729	0.00337542	0.00840074	0.00440036	0.0001	0	0.965919
33.4665	0.00170672	0.995023	0.0032734	0.00830084	0.00420044	1e-08	0	0.965067
34.1358	0.0016334	0.995035	0.00333425	0.00830083	0.00410042	1e-12	0	0.964226
34.8186	0.00214063	0.994742	0.00312052	0.00820083	0.00530041	0.0001	0	0.963398
35.5149	0.00214434	0.994345	0.00351321	0.00920082	0.00560053	1e-08	0	0.96258
36.2252	0.0025008	0.993631	0.00387157	0.0103009	0.00630056	0.0002	0	0.961774
36.9497	0.00294435	0.994282	0.00277647	0.00740103	0.00800063	2e-08	0	0.960979
37.6887	0.00226639	0.994683	0.00305376	0.00880074	0.0061008	0.0001	0	0.960195
38.4425	0.00201644	0.99414	0.00384601	0.0120009	0.00570061	1e-08	0	0.959422
39.2114	0.00221298	0.994041	0.00374917	0.0108012	0.00620057	0.0001	0	0.958659
39.9956	0.0024416	0.993121	0.00443992	0.0129011	0.00700062	0.00010001	0	0.957907
40.7955	0.00239375	0.993787	0.00382232	0.0125013	0.0070007	0.00010001	0	0.957166
41.6114	0.00305947	0.992185	0.00475814	0.0150013	0.0090007	0.00020001	0	0.956434
42.4436	0.0026274	0.993397	0.00397848	0.0126015	0.0082009	2.0001e-08	0	0.955713
43.2925	0.0035121	0.991694	0.00479652	0.0148013	0.0110008	0.0001	0	0.955001
44.1584	0.00272916	0.992901	0.00437229	0.0145015	0.0085011	0.00020001	0	0.9543
45.0415	0.00340014	0.99187	0.00473207	0.0158015	0.0109009	0.00020002	0	0.953607
45.9424	0.00372968	0.991473	0.00480022	0.0163016	0.0126011	2.0002e-08	0	0.952925
46.8612	0.00369791	0.991585	0.0047196	0.0158016	0.0122013	0.0003	0	0.952252
47.7984	0.00396679	0.990628	0.00540723	0.0192016	0.0134012	0.00030003	0	0.951588
48.7544	0.0033194	0.992089	0.00459406	0.0164019	0.0119013	3.0003e-08	0	0.950933
49.7295	0.00463305	0.990105	0.00526391	0.0202016	0.0164012	0.0003	0	0.950288
50.7241	0.00447843	0.989445	0.00607886	0.023502	0.0158016	0.00050003	0	0.949651
51.7386	0.00385382	0.990402	0.00574649	0.0218024	0.0143016	0.00020005	0	0.949023
52.7733	0.00429354	0.990512	0.00519667	0.0203022	0.0163014	0.00020002	0	0.948403
53.8288	0.00465442	0.989673	0.00567474	0.021202	0.0177016	0.00040002	0	0.947792
54.9054	0.00453368	0.989539	0.00592912	0.0241021	0.0174018	0.00050004	0	0.94719
56.0035	0.00452228	0.989372	0.0061076	0.0264024	0.0179017	0.00040005	0	0.946596
57.1235	0.0052384	0.988963	0.00580105	0.0265026	0.0211018	0.00050004	0	0.94601
58.266	0.00449127	0.989023	0.00648775	0.0298027	0.0187021	0.00030005	0	0.945432
59.4313	0.00455452	0.989126	0.00632177	0.029103	0.0190019	0.00050003	0	0.944862
60.62	0.00495872	0.98861	0.00643288	0.0288029	0.0212019	0.00050005	0	0.9443
61.8324	0.00521763	0.987991	0.00679331	0.0314029	0.0230021	0.00040005	0	0.943745
63.069	0.00581444	0.987425	0.00676267	0.0318031	0.0257023	0.00070004	0	0.943199
64.3304	0.00532408	0.988451	0.00622655	0.0295032	0.0241026	0.00060007	0	0.942659
65.617	0.0058246	0.987039	0.00713861	0.034903	0.0272024	0.00050006	0	0.942127
66.9293	0.00592696	0.986906	0.00716921	0.0377035	0.0270027	0.00120005	0	0.941603
68.2679	0.0062367	0.986839	0.00692656	0.0357038	0.0295027	0.00100012	0	0.941086
69.6333	0.00611899	0.986361	0.00752237	0.0399036	0.028403	0.0014001	0.0001	0.940576
71.0259	0.00663738	0.985323	0.00804189	0.042704	0.0334028	0.00070014	1e-08	0.940072
72.4465	0.00610232	0.986179	0.00772036	0.0438043	0.0307033	0.00100007	1e-12	0.939576
73.8954	0.00658635	0.985726	0.00768949	0.0443044	0.0338031	0.0011001	1e-16	0.939087
75.3733	0.00731977	0.984982	0.00769983	0.0426044	0.0376034	0.00120011	0.0002	0.938604
76.8808	0.00711648	0.985052	0.0078332	0.0467043	0.0377038	0.00140012	2e-08	0.938128
78.4184	0.00652276	0.98594	0.00753944	0.0441047	0.0349038	0.00150014	2e-12	0.937659
79.9867	0.00760184	0.984112	0.00828825	0.0514044	0.0420035	0.00150015	2e-16	0.937196
81.5865	0.00783877	0.983057	0.00910655	0.0575051	0.0450042	0.00090015	0.0001	0.936739
83.2182	0.00814708	0.982995	0.00886024	0.0571058	0.0462045	0.00180009	0.00010001	0.936289
84.8826	0.00794676	0.983081	0.00897465	0.0576057	0.0445046	0.00260018	0.00010001	0.935845
86.5802	0.007513	0.983863	0.00862591	0.0590058	0.0453045	0.00140026	1.0001e-08	0.935407
88.3118	0.00800707	0.982433	0.00956177	0.0628059	0.0466045	0.00210014	0.0004	0.934975
90.0781	0.00821533	0.983074	0.00871238	0.0611063	0.0504047	0.00200021	0.00010004	0.934549
91.8796	0.00857631	0.981749	0.00967641	0.0650061	0.051505	0.0029002	0.00030001	0.934129
93.7172	0.00889478	0.981868	0.0092392	0.0664065	0.0571052	0.00210029	0.00010003	0.933714
95.5916	0.00870347	0.982148	0.00915011	0.0656066	0.0568057	0.00220021	0.00010001	0.933306
97.5034	0.00820022	0.981976	0.00982567	0.0736066	0.0551057	0.00160022	0.00020001	0.932903
99.4535	0.00899496	0.981321	0.0096859	0.0759074	0.0605055	0.00270016	0.00010002	0.932505
101.443	0.00930748	0.98035	0.0103442	0.0812076	0.0627061	0.00350027	0.00010001	0.932113
103.471	0.00912901	0.980388	0.0104852	0.0829081	0.0653063	0.00230035	1.0001e-08	0.931726
105.541	0.0100739	0.97987	0.0100583	0.0795083	0.0713065	0.00270023	0.0005	0.931345
