fHI	fHeI	fHeII	z	T(K)
0.01	0.01	0.99	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	1.00001	0	0	0	0	0	1
10.404	0	1.00001	0	0	0	0	0	1
10.6121	0	1.00001	0	0	0	0	0	1
10.8243	0	1.00001	0	0	0	0	0	1
11.0408	0	1.00001	0	0	0	0	0	0.999636
11.2616	0	1.00001	0	0	0	0	0	0.999635
11.4869	0	1.00001	0	0	0	0	0	0.999634
11.7166	0	1.00001	0	0	0	0	0	0.999634
11.9509	0	1.00001	0	0	0	0	0	0.999633
12.1899	0	1.00001	0	0	0	0	0	0.999633
12.4337	0	1.00001	0	0	0	0	0	0.999632
12.6824	0	1.00001	0	0	0	0	0	0.999631
12.9361	0	1.00001	0	0	0	0	0	0.999631
13.1948	0	1.00001	0	0	0	0	0	0.99963
13.4587	0	1.00001	0	0	0	0	0	0.99963
13.7279	0	1.00001	0	0	0	0	0	0.999629
14.0024	0	1.00001	0	0	0	0	0	0.999629
14.2825	0	1.00001	0	0	0	0	0	0.999628
14.5681	0	1.00001	0	0	0	0	0	0.999628
14.8595	0	1.00001	0	0	0	0	0	0.999627
15.1567	0	1.00001	0	0	0	0	0	0.999627
15.4598	0	1.00001	0	0	0	0	0	0.999626
15.769	0	1.00001	0	0	0	0	0	0.999626
16.0844	0	1.00001	0	0	0	0	0	0.999625
16.4061	0	1.00001	0	0	0	0	0	0.999625
16.7342	0	1.00001	0	0	0	0	0	0.999624
17.0689	0	1.00001	0	0	0	0	0	0.999624
17.4102	0	1.00001	0	0	0	0	0	0.999623
17.7584	0	1.00001	0	0	0	0	0	0.999623
18.1136	0	1.00001	0	0	0	0	0	0.999622
18.4759	0	1.00001	0	0	0	0	0	0.999622
18.8454	0	1.00001	0	0	0	0	0	0.999621
19.2223	0	1.00001	0	0	0	0	0	0.999621
19.6068	0	1.00001	0	0	0	0	0	0.99962
19.9989	0	1.00001	0	0	0	0	0	0.99962
20.3989	0	0.999955	4.99954e-05	0.0001	0	0	0	0.99962
20.8069	0	0.999947	5.80922e-05	1e-08	0	0	0	0.999619
21.223	0	1	2.73723e-10	1e-12	0	0	0	0.999619
21.6474	0	0.999958	4.71118e-05	0.0001	0	0	0	0.999618
22.0804	0	1	2.13365e-10	1e-08	0	0	0	0.999618
22.522	0	1	9.47361e-16	1e-12	0	0	0	0.999618
22.9724	0	0.99996	4.43945e-05	1e-16	0	0	0	0.999617
23.4319	0	1	1.89462e-10	1e-20	0	0	0	0.999617
23.9005	5.68941e-05	0.999905	4.26706e-05	0.0001	0.0001	0	0	0.999616
24.3785	5.57841e-05	0.999896	5.22926e-05	1e-08	0.00010001	0	0	0.999616
24.8661	5.46903e-09	1	2.10297e-10	1e-12	1.0001e-08	0	0	0.999616
25.3634	5.3618e-13	1	8.29133e-16	1e-16	1.0001e-12	0	0	0.999615
25.8707	5.25666e-17	1	3.20491e-21	1e-20	1.0001e-16	0	0	0.999615
26.3881	5.15359e-21	0.999888	0.000115944	0.0002	1.0001e-20	0	0	0.999615
26.9159	5.05254e-25	1	4.30765e-10	2e-08	1.0001e-24	0	0	0.999614
27.4542	4.95347e-29	0.999966	3.71473e-05	0.0001	1.0001e-28	0	0	0.999614
28.0033	4.85586e-05	0.999955	1.32653e-10	1e-08	0.0001	0	0	0.999614
28.5633	4.76112e-05	0.999878	7.80217e-05	0.0001	0.00010001	0	0	0.999613
29.1346	4.66777e-09	1	2.67797e-10	1e-08	1.0001e-08	0	0	0.999613
29.7173	4.57624e-13	1	9.01149e-16	1e-12	1.0001e-12	0	0	0.999613
30.3117	4.48651e-17	0.99997	3.36455e-05	0.0001	1.0001e-16	0	0	0.999612
30.9179	4.39854e-21	0.99997	3.29859e-05	0.00010001	1.0001e-20	0	0	0.999612
31.5362	4.3123e-25	1	1.04597e-10	1.0001e-08	1.0001e-24	0	0	0.999612
32.167	4.22774e-29	0.999971	3.17049e-05	1.0001e-12	1.0001e-28	0	0	0.999611
32.8103	4.14484e-33	0.999972	3.10833e-05	0.0001	1.0001e-32	0	0	0.999611
33.4665	4.06357e-37	0.999898	0.000104683	0.00010001	1.0001e-36	0	0	0.999611
34.1358	3.98389e-41	0.999936	6.72218e-05	0.00010001	1.0001e-40	0	0	0.999611
34.8186	3.90578e-45	1	1.93063e-10	1.0001e-08	1.0001e-44	0	0	0.99961
35.5149	3.82881e-05	0.999936	2.87161e-05	0.0001	0.0001	0	0	0.99961
36.2252	3.75374e-09	0.999857	0.000145979	0.00040001	1e-08	0	0	0.99961
36.9497	3.68013e-13	0.999942	6.03137e-05	0.00010004	1e-12	0	0	0.999609
37.6887	3.60798e-17	0.999916	8.61907e-05	0.00010001	1e-16	0	0	0.999609
38.4425	3.53723e-21	1	2.24207e-10	1.0001e-08	1e-20	0	0	0.999609
39.2114	3.46787e-25	0.999951	5.20181e-05	0.0001	1e-24	0	0	0.999609
39.9956	3.39988e-05	0.999913	5.57203e-05	0.00010001	0.0001	0	0	0.999608
40.7955	3.33321e-09	0.999973	2.96287e-05	1.0001e-08	1e-08	0	0	0.999608
41.6114	6.53571e-05	0.999937	7.12033e-11	1.0001e-12	0.0002	0	0	0.999608
42.4436	6.4082e-05	0.999938	1.6776e-16	1.0001e-16	0.00020002	0	0	0.999608
43.2925	3.14159e-05	0.999971	3.87503e-22	1.0001e-20	0.00010002	0	0	0.999607
44.1584	6.15905e-05	0.999866	7.50597e-05	0.0003	0.00020001	0	0	0.999607
45.0415	6.03829e-09	0.99998	2.26426e-05	0.00010003	2.0001e-08	0	0	0.999607
45.9424	8.87939e-05	0.999843	7.07063e-05	0.00020001	0.0003	0	0	0.999607
46.8612	0.000116079	0.999839	4.75568e-05	0.00010002	0.00040003	0	0	0.999606
47.7984	2.846e-05	0.999931	4.26731e-05	0.00020001	0.00010004	0	0	0.999606
48.7544	0.000161994	0.999777	6.27544e-05	0.00030002	0.00040001	0.0001	0	0.999606
49.7295	2.73598e-05	0.999908	6.6651e-05	0.00020003	0.00010004	1e-08	0	0.999606
50.7241	5.36183e-05	0.999908	4.02118e-05	0.00010002	0.00020001	1e-12	0	0.999606
51.7386	0.000178936	0.999741	8.24968e-05	0.00030001	0.00050002	0.0001	0	0.999605
52.7733	5.15512e-05	0.999912	3.86504e-05	0.00010003	0.00020005	1e-08	0	0.999605
53.8288	0.000141877	0.999803	5.68386e-05	0.00020001	0.00020002	0.0002	0	0.999605
54.9054	0.000114338	0.99981	7.77386e-05	0.00030002	0.00010002	0.00020002	0	0.999605
56.0035	0.000141035	0.999803	5.80039e-05	0.00030003	0.00040001	0.00010002	0	0.999604
57.1235	0.000205117	0.999743	5.35603e-05	0.00030003	0.00050004	0.00020001	0	0.999604
58.266	0.000140047	0.999743	0.00011912	0.00030003	0.00020005	2.0001e-08	0.0001	0.999604
59.4313	0.000128512	0.999783	9.00909e-05	0.00050003	0.00020002	0.0002	1e-08	0.999604
60.62	6.73073e-05	0.999897	3.78534e-05	0.00020005	0.00030002	2e-08	1e-12	0.999604
61.8324	8.37524e-05	0.999848	7.00987e-05	0.00030002	0.00020003	0.0001	1e-16	0.999603
63.069	0.000172492	0.999797	3.23409e-05	0.00020003	0.00040002	1e-08	0.0001	0.999603
64.3304	7.64536e-05	0.999806	0.0001189	0.00070002	4.0002e-08	0.0002	1e-08	0.999603
65.617	7.8923e-05	0.999876	4.66276e-05	0.00030007	0.0002	0.00010002	1e-12	0.999603
66.9293	0.000121909	0.999819	6.09509e-05	0.00040003	0.00060002	1.0002e-08	1e-16	0.999603
68.2679	0.000135619	0.999802	6.34906e-05	0.00040004	0.00050006	0.0001	1e-20	0.999603
69.6333	0.000148741	0.999838	1.46461e-05	0.00010004	0.00040005	0.00020001	1e-24	0.999602
71.0259	0.000168646	0.999787	4.57356e-05	0.00010001	0.00070004	0.00010002	1e-28	0.999602
72.4465	9.02625e-05	0.999855	5.63092e-05	0.00040001	0.00030007	0.00010001	1e-32	0.999602
73.8954	0.000106887	0.999812	8.28077e-05	0.00050004	0.00040003	0.00010001	1e-36	0.999602
75.3733	0.00029978	0.999647	5.41227e-05	0.00040005	0.00090004	0.00020001	0.0001	0.999602
76.8808	0.000229962	0.999728	4.31124e-05	0.00030004	0.00050009	2.0001e-08	0.00020001	0.999602
78.4184	0.000114748	0.999803	8.36912e-05	0.00050003	0.00030005	0.0002	2.0001e-08	0.999601
79.9867	0.000102013	0.99982	7.96891e-05	0.00060005	0.00060003	2e-08	2.0001e-12	0.999601
81.5865	0.00023082	0.999663	0.000107757	0.00080006	0.00030006	0.0006	2.0001e-16	0.999601
83.2182	6.53833e-05	0.999896	3.98293e-05	0.00020008	0.00040003	6e-08	2.0001e-20	0.999601
84.8826	0.000234153	0.999711	5.62918e-05	0.00040002	0.00070004	0.0002	0.0001	0.999601
86.5802	0.000119639	0.999748	0.000133934	0.00080004	0.00040007	0.00020002	1e-08	0.999601
88.3118	0.000181829	0.999747	7.21769e-05	0.00060008	0.00100004	0.00010002	1e-12	0.9996
90.0781	0.000102791	0.999778	0.000120242	0.00070006	0.0005001	0.00010001	1e-16	0.9996
91.8796	0.000195845	0.999712	9.36294e-05	0.00070007	0.00060005	0.00040001	1e-20	0.9996
93.7172	0.000529104	0.999374	9.79399e-05	0.00080007	0.00100006	0.00080004	0.0003	0.9996
95.5916	0.000302083	0.999609	8.99936e-05	0.00070008	0.0006001	0.00040008	0.00020003	0.9996
97.5034	0.00034333	0.999482	0.00017578	0.00130007	0.00090006	0.00020004	0.00030002	0.9996
99.4535	0.00032293	0.99957	0.000107673	0.00090013	0.00160009	0.00020002	0.00010003	0.9996
101.443	0.000362497	0.999573	6.53477e-05	0.00060009	0.00100016	0.00050002	0.00020001	0.999599
103.471	0.000276543	0.999638	8.67907e-05	0.00060006	0.0012001	0.00050005	2.0001e-08	0.999599
105.541	0.000201227	0.999642	0.000157562	0.00120006	0.00080012	0.00020005	0.0001	0.999599
107.652	0.000392105	0.999479	0.000129648	0.00120012	0.00100008	0.00050002	0.00030001	0.999599
109.805	0.000421587	0.999393	0.000186273	0.00140012	0.0005001	0.00050005	0.00050003	0.999599
112.001	0.0003498	0.999566	8.53243e-05	0.00070014	0.00110005	0.00010005	0.00040005	0.999599
114.241	0.000507771	0.999384	0.000109358	0.00120007	0.00140011	0.00070001	0.00040004	0.999599
116.526	0.000383375	0.99947	0.000147652	0.00120012	0.00180014	0.00060007	0.00010004	0.999599
118.856	0.000277272	0.99966	6.37981e-05	0.00060012	0.00130018	0.00040006	0.00010001	0.999598
